tract_id,county,city,disp_type,disp_descr,pop_2013,per_prewar,hburden_ch,emp_conc,hprice_ch,hrent_ch,new_mk_unt,lowinc_ch,lowinc_mig,pop_growth,lowinc_90,lowinc_00,lowinc_13,ed_90,ed_00,ed_13,renter_90,renter_00,renter_13,white_90,white_00,white_13,ed90_00,ed00_13,medinc_90,medinc_00,medinc_13,inc_ch90_00,inc_ch00_13,mkt_ch90_13,mkt_ch00_13,price90_00,price00_13,value90_00,value00_13,gent90_00,gent00_13,mig_09,mig_13
6001401100,Alameda,Oakland,4,LI - Advanced gentrification,4054,76.4,-122,5294,62.8,32.0,113,-228,-9.0,1.2,62.3,65.8,52.1,33.8,43.0,52.4,81.6,81.7,80.0,63.7,63.1,52.5,9.2,9.4,37368,44596,53438,19.3,19.8,2.0,5.3,25.8,62.8,16.7,24.9,0,1,25.7,16.7
6001401200,Alameda,Oakland,3,LI - Undergoing displacement,2456,83.0,-90,4437,66.9,26.4,67,-40,-8.9,1.0,55.2,48.5,43.2,42.5,54.1,56.0,67.3,66.9,56.3,48.8,46.4,47.6,11.6,1.9,45926,62563,62064,36.2,-0.8,0.0,5.1,29.2,66.9,31.2,33.2,0,0,11.5,2.6
6001401300,Alameda,Oakland,4,LI - Advanced gentrification,3983,44.2,-135,13297,146.9,40.1,396,69,-6.7,41.7,85.8,85.0,70.0,11.2,14.8,33.0,95.8,96.1,87.8,72.1,75.9,78.8,3.6,18.2,22328,25169,35030,12.7,39.2,5.0,20.9,-12.2,146.9,47.9,-20.6,0,1,29.1,22.4
6001401400,Alameda,Oakland,2,LI - At risk of gentrification or displacement,4340,65.6,-36,2835,25.2,28.1,0,-130,-6.3,-8.9,81.4,86.8,79.4,8.7,8.5,15.6,80.1,82.5,81.1,94.6,94.7,83.6,-0.2,7.1,20943,26762,28264,27.8,5.6,0.0,0.0,33.5,25.2,11.8,23.9,0,0,18.3,12.1
6001401500,Alameda,Oakland,4,LI - Advanced gentrification,2080,73.4,-1,3795,15.7,2.7,129,-33,-4.8,-13.8,73.1,75.7,67.7,7.5,16.4,27.2,62.5,74.1,54.7,92.1,89.0,72.9,9.0,10.8,26947,36331,38684,34.8,6.5,23.4,10.5,100.2,15.7,47.9,42.9,1,1,12.9,8.1
6001401600,Alameda,Oakland,2,LI - At risk of gentrification or displacement,1889,45.6,-34,6335,43.9,55.0,164,173,0.2,-2.3,89.2,75.7,80.0,8.9,11.0,20.1,80.0,79.2,80.2,92.2,89.8,82.8,2.1,9.1,18832,36836,32663,95.6,-11.3,0.0,18.9,22.1,43.9,22.0,50.8,0,0,10.4,10.6
6001401700,Alameda,Oakland,4,LI - Advanced gentrification,2544,31.6,-23,1758,93.1,35.5,464,151,-1.5,35.5,69.8,64.5,46.2,9.3,18.4,39.6,68.8,61.8,63.3,86.2,88.9,78.3,9.1,21.2,28012,33132,63052,18.3,90.3,0.0,38.6,96.4,93.1,29.7,75.3,0,1,11.5,10.0
6001401800,Alameda,Oakland,4,LI - Advanced gentrification,2112,70.9,-17,2788,38.4,61.2,135,31,-12.1,8.1,76.5,75.9,73.9,5.4,10.6,29.6,78.7,81.3,83.6,96.5,96.8,77.4,5.2,19.0,17985,25724,30449,43.0,18.4,0.0,15.4,69.5,38.4,14.9,54.1,0,1,31.4,19.3
6001402200,Alameda,Oakland,2,LI - At risk of gentrification or displacement,2505,65.0,-63,1916,65.0,66.9,8,91,-6.8,-2.1,83.4,68.0,63.1,7.5,15.3,23.9,73.0,70.0,69.9,92.4,90.2,82.6,7.8,8.6,22850,44860,36600,96.3,-18.4,0.0,0.8,44.5,65.0,11.7,106.3,0,0,17.3,10.4
6001402400,Alameda,Oakland,2,LI - At risk of gentrification or displacement,3101,48.2,-177,1874,32.0,62.6,0,149,-8.5,19.3,75.4,75.3,84.7,10.6,14.1,12.9,78.7,77.7,87.4,97.0,95.0,91.8,3.5,-1.3,22964,22714,24818,-1.1,9.3,10.8,0.0,43.2,32.0,32.6,35.8,0,0,16.6,8.0
6001402500,Alameda,Oakland,2,LI - At risk of gentrification or displacement,2026,23.7,10,3335,25.1,-3.2,98,120,5.7,13.9,83.7,79.4,78.6,4.8,11.0,13.3,94.8,88.1,81.3,98.6,96.5,93.5,6.2,2.3,14390,21362,21974,48.5,2.9,0.0,12.1,30.4,25.1,17.2,17.1,0,0,12.4,18.1
6001402600,Alameda,Oakland,2,LI - At risk of gentrification or displacement,955,24.6,3,5022,52.1,47.6,0,17,-7.2,-2.3,89.7,82.6,77.4,7.0,12.0,32.6,94.2,92.7,82.6,92.9,94.0,87.0,5.0,20.6,18824,17898,21250,-4.9,18.7,0.0,0.0,85.7,52.1,-60.0,164.9,0,0,12.3,5.1
6001402700,Alameda,Oakland,2,LI - At risk of gentrification or displacement,1583,65.0,19,3918,-3.6,33.1,0,-68,13.1,-18.6,81.4,74.5,65.3,21.2,11.2,24.8,81.4,82.7,70.2,95.9,96.2,80.4,-10.0,13.6,28076,40694,22875,44.9,-43.8,6.5,0.0,8.8,-3.6,22.0,33.7,0,0,5.7,18.8
6001402800,Alameda,Oakland,4,LI - Advanced gentrification,3044,36.4,8,68112,122.1,94.3,401,246,-11.1,60.3,90.5,91.5,72.1,8.2,12.3,32.2,98.2,97.8,91.0,82.6,82.9,74.5,4.1,19.9,15247,13862,19896,-9.1,43.5,10.9,19.4,82.2,122.1,15.9,68.0,0,1,26.0,14.9
6001402900,Alameda,Oakland,2,LI - At risk of gentrification or displacement,1254,65.0,-134,94595,0.0,30.1,0,-96,-2.2,-2.9,87.0,81.9,80.3,15.7,29.1,33.4,99.6,99.1,100.0,72.1,77.0,74.0,13.4,4.3,19924,25828,23302,29.6,-9.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,14.6,12.4
6001403000,Alameda,Oakland,4,LI - Advanced gentrification,2368,39.1,43,53933,0.0,-17.4,226,-55,-9.8,-13.4,82.7,85.3,84.4,12.4,14.6,26.3,78.0,73.3,79.2,87.2,96.3,93.8,2.3,11.6,17597,17694,16680,0.6,-5.7,23.3,13.6,0.0,0.0,-38.4,61.4,0,1,13.8,4.0
6001403100,Alameda,Oakland,4,LI - Advanced gentrification,1535,30.4,-11,111931,4.0,64.0,150,-77,3.5,-6.8,90.2,78.4,50.1,6.5,14.4,41.3,95.6,78.8,69.4,88.8,86.8,76.0,7.9,26.9,13574,20710,55568,52.6,168.3,36.7,22.4,93.2,4.0,5.6,31.2,1,1,16.0,19.6
6001403300,Alameda,Oakland,4,LI - Advanced gentrification,4040,28.6,-196,21796,10.3,104.8,1301,389,-3.4,74.9,67.7,76.2,50.9,11.8,17.3,46.6,83.9,79.0,75.6,90.2,92.6,75.2,5.5,29.3,38665,33040,55524,-14.5,68.1,0.0,55.0,21.1,10.3,-31.9,56.6,0,1,12.8,9.4
6001403400,Alameda,Oakland,2,LI - At risk of gentrification or displacement,4318,38.1,-399,9478,53.5,18.2,506,277,-10.4,16.8,67.9,74.5,72.1,30.9,40.1,49.5,90.6,90.8,89.2,60.2,66.4,70.2,9.2,9.4,39233,41135,36153,4.8,-12.1,0.0,16.3,28.6,53.5,-20.8,51.3,0,0,21.0,10.6
6001403501,Alameda,Oakland,2,LI - At risk of gentrification or displacement,4178,39.0,-16,8187,78.0,7.7,0,-147,-2.6,-2.7,65.6,67.1,65.7,30.3,40.4,44.2,88.5,88.4,86.4,61.9,67.2,70.1,10.1,3.8,39674,43659,41968,10.0,-3.9,0.0,0.0,4.4,78.0,-21.6,40.6,0,0,14.3,11.7
6001403502,Alameda,Oakland,4,LI - Advanced gentrification,2039,41.8,-257,8476,46.5,28.3,84,-253,-6.8,-0.7,65.6,67.1,46.0,30.3,40.4,50.1,88.4,88.4,68.7,61.9,67.2,45.2,10.1,9.7,39674,43659,63375,10.0,45.2,0.0,6.4,14.4,46.5,-21.6,11.3,0,1,14.3,7.5
6001403600,Alameda,Oakland,2,LI - At risk of gentrification or displacement,4334,20.9,-541,3286,11.9,20.3,90,-307,-5.4,-1.5,52.8,56.5,46.4,42.0,47.7,53.6,87.5,85.1,82.5,60.5,66.5,67.0,5.7,5.9,50855,54567,62075,7.3,13.8,0.0,3.3,42.2,11.9,-34.9,6.8,0,0,11.4,6.0
6001403701,Alameda,Oakland,2,LI - At risk of gentrification or displacement,2497,34.5,-261,12607,28.4,4.3,0,-115,-5.1,-10.7,56.3,51.7,49.9,48.8,58.8,69.8,86.5,84.6,92.1,42.3,50.5,46.7,10.0,11.0,49527,57428,57819,16.0,0.7,33.6,0.0,17.5,28.4,-54.0,-6.6,0,0,13.2,8.1
6001403702,Alameda,Oakland,4,LI - Advanced gentrification,1969,54.9,-238,15770,-11.6,38.7,0,-231,-5.8,3.6,56.1,51.6,37.4,48.5,58.6,70.1,86.1,84.4,74.3,42.9,50.9,38.4,10.0,11.6,49651,57521,74479,15.9,29.5,33.1,0.0,83.9,-11.6,-52.7,46.9,1,0,13.0,7.3
6001403800,Alameda,Oakland,6,MHI - At risk of displacement,3545,71.1,-314,7585,18.2,27.3,0,-140,-0.6,2.7,40.4,38.7,32.9,57.4,64.6,71.2,65.4,64.7,65.4,36.4,40.9,41.6,7.2,6.7,65500,69741,76875,6.5,10.2,1.4,0.0,31.5,18.2,-4.3,42.3,0,0,6.8,6.2
6001403900,Alameda,Oakland,3,LI - Undergoing displacement,3983,31.5,-392,5220,6.9,13.6,50,-91,5.6,5.0,48.3,51.2,45.6,40.2,55.6,65.6,72.1,70.5,67.2,41.8,48.6,47.5,15.3,10.1,56609,59331,62813,4.8,5.9,2.9,2.2,36.5,6.9,-33.6,30.8,0,0,7.7,13.3
6001404000,Alameda,Oakland,2,LI - At risk of gentrification or displacement,2798,34.4,-261,20628,41.8,18.6,0,-170,-2.9,-3.0,48.4,50.8,45.6,51.3,62.5,60.4,79.9,76.6,74.1,33.2,40.7,43.6,11.2,-2.1,54418,58705,63712,7.9,8.5,1.4,0.0,27.0,41.8,-28.0,29.7,0,0,11.2,8.3
6001404101,Alameda,Oakland,6,MHI - At risk of displacement,2812,58.3,-288,6479,28.5,18.2,0,-352,-3.3,-4.7,53.6,52.9,38.9,51.3,61.7,76.7,76.9,75.1,58.8,22.5,28.5,26.8,10.4,15.0,49148,57729,76667,17.5,32.8,9.2,0.0,31.5,28.5,3.3,34.3,0,0,8.6,5.3
6001404102,Alameda,Oakland,3,LI - Undergoing displacement,2614,44.5,-100,16093,37.9,5.8,167,-43,0.6,8.9,53.7,53.0,47.5,51.2,61.6,66.1,77.0,75.3,86.3,22.5,28.5,43.5,10.4,4.5,48968,57522,57199,17.5,-0.6,9.3,9.7,42.0,37.9,3.3,26.9,0,0,8.7,9.3
6001404200,Alameda,Oakland,8,MHI - Advanced exclusion,3496,41.5,-58,1600,20.6,16.4,44,-32,3.1,10.1,30.7,17.8,15.5,58.6,71.9,84.4,28.8,17.1,24.2,12.3,18.5,39.4,13.3,12.5,88697,127051,146406,43.2,15.2,0.0,3.1,26.7,20.6,11.0,41.3,0,0,1.8,4.8
6001404300,Alameda,Oakland,6,MHI - At risk of displacement,3436,32.3,-69,1080,21.5,53.8,38,-61,0.8,11.2,21.7,21.6,16.7,64.1,75.7,79.0,20.2,18.4,17.9,15.3,19.7,32.1,11.6,3.3,108884,136310,173802,25.2,27.5,0.0,2.8,32.7,21.5,32.5,8.8,0,0,2.0,2.8
6001404400,Alameda,Oakland,5,MHI - Not losing LI households or very early stages of displacement,5058,31.9,-45,546,1.2,6.3,245,104,-1.0,7.6,14.5,13.2,17.0,60.7,72.7,83.4,30.0,13.2,15.2,17.9,24.4,34.7,12.1,10.7,105289,137549,128625,30.6,-6.5,0.7,10.2,33.9,1.2,8.6,18.9,0,0,2.4,1.4
6001404501,Alameda,Oakland,8,MHI - Advanced exclusion,1822,41.4,-8,595,4.8,16.3,32,-7,-0.5,15.7,20.4,12.4,10.8,63.4,77.4,83.6,11.9,14.7,13.8,14.5,21.1,28.2,14.0,6.3,134468,152894,168750,13.7,10.4,2.3,4.5,26.3,4.8,3.0,28.3,0,0,2.1,1.6
6001404502,Alameda,Oakland,5,MHI - Not losing LI households or very early stages of displacement,5540,30.1,-22,2436,25.8,12.9,47,73,-4.2,0.9,16.3,15.2,18.2,70.4,75.3,82.6,14.1,15.7,10.3,17.8,25.9,25.8,4.8,7.4,127850,133056,126719,4.1,-4.8,4.4,1.9,16.1,25.8,1.3,27.4,0,0,5.4,1.2
6001404600,Alameda,Oakland,5,MHI - Not losing LI households or very early stages of displacement,4536,28.6,-40,654,4.7,-6.7,85,86,-1.4,5.6,13.6,10.6,14.9,67.8,71.2,74.9,9.1,7.9,6.5,15.8,23.3,28.9,3.4,3.8,134659,157455,151410,16.9,-3.8,2.6,4.6,16.0,4.7,-5.1,30.1,0,0,3.0,1.5
6001404700,Alameda,Oakland,5,MHI - Not losing LI households or very early stages of displacement,1973,58.3,31,1099,-3.7,5.4,13,19,0.3,2.4,14.3,14.9,16.5,62.7,73.8,74.7,10.4,8.7,8.3,22.2,26.9,24.0,11.1,0.9,122468,149735,138472,22.3,-7.5,7.0,1.6,9.1,-3.7,1.2,30.3,0,0,1.7,2.0
6001404800,Alameda,Oakland,2,LI - At risk of gentrification or displacement,2746,63.3,-68,2874,24.6,12.9,52,23,-2.4,2.3,46.0,43.4,46.2,46.4,48.9,52.5,52.1,53.8,43.5,39.6,53.0,58.3,2.5,3.6,59541,71967,68864,20.9,-4.3,7.9,4.0,11.1,24.6,5.6,40.7,0,0,5.5,3.1
6001404900,Alameda,Oakland,6,MHI - At risk of displacement,4295,78.5,-293,3119,28.5,23.1,0,-38,0.9,-1.4,36.6,38.1,35.4,42.7,53.5,63.7,42.5,46.4,39.1,38.8,43.6,48.1,10.7,10.3,70098,76326,70397,8.9,-7.8,3.4,0.0,22.7,28.5,0.4,36.5,0,0,2.8,3.6
6001405000,Alameda,Oakland,6,MHI - At risk of displacement,3356,77.9,-105,2301,18.9,55.2,19,-63,-2.2,4.8,33.0,32.5,29.3,46.6,59.3,63.3,44.0,43.7,37.3,33.3,35.7,36.2,12.7,4.0,73751,89925,103750,21.9,15.4,0.9,1.1,24.9,18.9,-3.5,33.5,0,0,5.0,2.8
6001405100,Alameda,Oakland,8,MHI - Advanced exclusion,3974,85.7,-39,1704,-27.9,-28.8,6,-65,-1.7,-4.5,15.7,18.7,15.5,65.1,66.9,77.6,7.6,7.8,12.6,33.4,33.1,28.9,1.8,10.6,135104,143393,185039,6.1,29.0,0.2,0.4,0.0,-27.9,11.4,20.6,0,0,5.8,4.1
6001405200,Alameda,Oakland,2,LI - At risk of gentrification or displacement,4647,63.5,-447,3327,22.1,38.3,78,-232,-0.3,-6.1,48.9,47.3,39.7,42.7,47.6,63.5,72.4,72.9,72.6,60.1,67.7,60.8,4.9,15.9,54470,62721,66625,15.1,6.2,5.0,3.0,18.0,22.1,-8.5,53.1,0,0,5.3,5.0
6001405301,Alameda,Oakland,2,LI - At risk of gentrification or displacement,2588,48.7,-370,4697,5.3,34.8,43,-171,-2.2,-12.1,64.6,63.1,55.2,29.9,34.9,53.4,92.5,91.3,89.1,69.4,69.8,54.2,5.0,18.5,38635,46421,49777,20.2,7.2,24.7,2.6,24.7,5.3,-29.6,53.7,0,0,10.6,8.4
6001405302,Alameda,Oakland,2,LI - At risk of gentrification or displacement,2450,40.6,-118,5606,-25.2,-1.2,0,224,0.8,-15.4,64.6,63.1,78.1,29.9,34.9,29.7,92.5,91.3,97.6,69.4,69.8,72.8,5.0,-5.2,38635,46421,33552,20.2,-27.7,24.7,0.0,-26.7,-25.2,-29.6,0.0,0,0,10.6,11.4
6001405401,Alameda,Oakland,2,LI - At risk of gentrification or displacement,4104,55.0,-276,4062,18.9,21.1,147,96,1.9,-13.8,65.2,75.0,77.8,10.5,14.8,17.3,86.3,87.5,89.1,90.6,92.0,90.3,4.2,2.5,37022,38209,28813,3.2,-24.6,2.1,8.1,24.0,18.9,-3.9,47.1,0,0,9.7,11.6
6001405402,Alameda,Oakland,2,LI - At risk of gentrification or displacement,2917,56.1,-108,4714,-1.7,17.9,33,-22,-2.3,-19.5,65.2,75.0,84.3,10.6,14.8,14.3,86.3,87.5,85.1,90.7,92.0,90.2,4.2,-0.5,37022,38209,26675,3.2,-30.2,2.0,2.6,3.0,-1.7,-3.9,30.4,0,0,9.7,7.4
6001405500,Alameda,Oakland,2,LI - At risk of gentrification or displacement,3570,61.0,-195,1487,73.8,34.0,74,151,-2.5,-13.9,64.7,58.0,68.6,19.9,22.5,33.8,75.8,77.2,79.7,86.8,88.6,80.8,2.6,11.3,40928,49081,34219,19.9,-30.3,0.4,4.4,6.0,73.8,-5.5,27.6,0,0,10.3,7.8
6001405600,Alameda,Oakland,2,LI - At risk of gentrification or displacement,3252,68.0,-252,2005,30.7,19.6,61,32,-4.0,-12.9,57.6,61.1,63.1,23.3,33.8,39.0,75.2,76.2,78.0,83.1,83.6,82.2,10.5,5.2,46033,49839,45938,8.3,-7.8,1.8,3.9,19.6,30.7,-0.7,39.8,0,0,11.3,7.3
6001405700,Alameda,Oakland,4,LI - Advanced gentrification,3040,53.6,-266,3654,4.1,23.0,97,-116,2.3,-19.6,68.8,68.7,65.5,15.3,13.3,20.9,69.9,70.3,75.6,87.7,91.0,88.1,-1.9,7.5,37343,47561,45523,27.4,-4.3,1.4,6.5,13.0,4.1,-1.8,54.8,0,1,8.2,10.4
6001405800,Alameda,Oakland,4,LI - Advanced gentrification,4275,74.3,-42,751,18.9,28.3,84,-38,-1.4,-10.0,67.1,63.7,59.8,6.7,9.8,20.0,59.4,63.9,56.7,94.7,96.5,90.8,3.1,10.2,39012,43496,47891,11.5,10.1,3.7,5.9,3.5,18.9,7.7,13.4,0,1,7.4,6.0
6001405901,Alameda,Oakland,2,LI - At risk of gentrification or displacement,3438,61.8,-14,2629,8.4,34.2,0,-135,-13.4,-25.3,64.2,69.4,75.4,5.7,7.6,8.2,69.8,71.9,71.0,95.0,96.2,94.9,1.9,0.6,41579,38714,35787,-6.9,-7.6,2.6,0.0,7.8,8.4,-0.9,88.4,0,0,15.7,2.3
6001405902,Alameda,Oakland,2,LI - At risk of gentrification or displacement,3430,44.0,5,1693,18.4,28.4,164,64,-10.0,4.6,64.2,69.4,67.6,5.7,7.6,11.7,69.8,71.9,72.2,95.0,96.2,88.9,1.8,4.1,41579,38714,38080,-6.9,-1.6,1.3,15.8,2.4,18.4,-0.9,37.0,0,0,15.7,5.7
6001406000,Alameda,Oakland,2,LI - At risk of gentrification or displacement,3319,43.6,-125,8679,63.4,22.2,153,116,-7.2,-9.2,71.8,69.0,70.9,8.7,16.5,25.1,88.6,84.7,89.7,91.0,88.9,82.9,7.8,8.7,32882,36879,19667,12.2,-46.7,11.8,9.6,-1.1,63.4,-11.2,124.7,0,0,16.4,9.3
6001406100,Alameda,Oakland,4,LI - Advanced gentrification,4508,48.1,-142,4614,44.9,39.2,145,-76,-5.9,4.8,60.8,64.2,47.6,11.9,12.1,25.3,72.5,72.9,68.6,84.0,88.1,87.9,0.1,13.2,46483,46390,60962,-0.2,31.4,8.9,8.9,13.8,44.9,16.9,55.5,0,1,12.1,6.1
6001406201,Alameda,Oakland,2,LI - At risk of gentrification or displacement,4027,56.4,-261,2780,2.8,41.4,24,-3,-6.7,-30.6,75.8,66.8,74.7,7.3,5.5,16.7,80.8,77.0,78.6,94.3,96.7,96.0,-1.7,11.2,29934,35741,30325,19.4,-15.2,7.3,1.6,7.3,2.8,-22.1,52.8,0,0,17.3,10.6
6001406202,Alameda,Oakland,2,LI - At risk of gentrification or displacement,4420,42.2,-258,6133,-5.5,25.4,87,166,-7.4,-13.1,75.8,64.0,79.2,7.2,9.9,16.7,80.8,83.0,85.5,94.3,94.6,92.7,2.7,6.8,29934,44924,29145,50.1,-35.1,0.0,6.2,7.0,-5.5,2.1,48.0,0,0,18.8,11.3
6001406300,Alameda,Oakland,3,LI - Undergoing displacement,4453,51.3,-43,2037,-10.6,30.7,57,-30,4.0,1.0,61.9,69.7,65.2,12.3,8.1,17.9,59.2,63.6,62.4,89.5,93.4,88.9,-4.2,9.8,38480,40296,41087,4.7,2.0,2.3,4.4,10.6,-10.6,1.9,8.2,0,0,10.5,14.5
6001406400,Alameda,Oakland,2,LI - At risk of gentrification or displacement,2357,63.8,-21,2217,5.9,66.5,85,86,5.6,3.6,44.2,47.4,57.0,23.4,28.5,24.3,50.1,48.9,57.8,68.7,77.7,80.3,5.1,-4.2,69505,65634,51133,-5.6,-22.1,1.0,10.7,16.5,5.9,-9.9,15.0,0,0,3.4,8.9
6001406500,Alameda,Oakland,2,LI - At risk of gentrification or displacement,6053,62.3,-92,2934,-1.1,32.4,109,24,-4.6,-3.2,54.6,62.3,66.8,17.0,14.7,17.8,66.3,66.9,68.8,84.0,91.7,91.1,-2.4,3.2,46823,46282,39746,-1.2,-14.1,0.4,5.3,-2.7,-1.1,-10.1,28.9,0,0,7.9,3.3
6001406601,Alameda,Oakland,2,LI - At risk of gentrification or displacement,4837,45.8,-59,1468,-7.0,36.9,159,2,1.3,-2.6,51.7,62.2,60.5,18.4,18.6,19.9,63.2,62.8,60.5,79.7,88.5,88.2,0.1,1.3,52405,48954,49792,-6.6,1.7,3.9,8.5,3.0,-7.0,-11.3,36.5,0,0,5.9,7.2
6001406602,Alameda,Oakland,2,LI - At risk of gentrification or displacement,2146,42.7,-76,2206,10.6,12.9,9,-44,1.4,-24.4,51.7,62.2,63.6,18.4,18.6,22.5,63.3,62.8,64.6,79.7,88.5,80.0,0.1,3.9,52405,48954,50341,-6.6,2.8,3.9,0.9,2.8,10.6,-11.3,29.1,0,0,5.9,7.3
6001406700,Alameda,Oakland,6,MHI - At risk of displacement,4935,61.3,-70,2400,13.3,2.4,79,212,3.2,-5.5,31.9,29.0,38.4,38.5,42.0,53.1,31.4,30.9,30.3,41.1,49.6,48.6,3.5,11.1,75463,92383,88137,22.4,-4.6,1.0,3.3,8.0,13.3,-5.1,30.4,0,0,3.1,6.4
6001406800,Alameda,Oakland,7,MHI - Undergoing displacement,3642,60.2,-169,1438,25.5,24.8,50,-89,-1.9,0.9,33.3,41.3,35.6,31.4,36.5,41.9,27.8,30.2,32.1,49.7,63.9,69.4,5.2,5.3,71572,75155,87308,5.0,16.2,0.1,3.4,-2.7,25.5,-10.9,50.1,0,0,6.7,4.8
6001406900,Alameda,Oakland,6,MHI - At risk of displacement,3807,43.4,-128,1640,9.7,18.6,64,14,0.4,3.0,40.4,36.0,36.3,36.0,41.1,49.7,38.6,41.6,44.0,49.6,62.1,67.0,5.1,8.7,65073,75622,75625,16.2,0.0,1.4,4.1,9.9,9.7,-9.6,47.0,0,0,4.0,4.5
6001407000,Alameda,Oakland,2,LI - At risk of gentrification or displacement,5428,55.3,-350,3233,0.1,34.5,21,-209,-8.6,-18.4,59.4,64.0,60.5,12.7,16.5,14.9,60.2,59.8,52.9,79.7,88.5,87.8,3.8,-1.5,45621,48431,38438,6.2,-20.6,0.1,1.0,11.1,0.1,-7.8,33.3,0,0,12.5,3.8
6001407101,Alameda,Oakland,2,LI - At risk of gentrification or displacement,3723,41.0,-62,1252,-20.3,20.6,44,165,0.4,2.9,57.7,57.7,74.3,14.3,12.2,8.9,55.1,56.4,77.9,85.7,92.1,95.2,-2.1,-3.3,45159,53822,29680,19.2,-44.9,0.0,4.0,3.1,-20.3,-8.2,17.6,0,0,14.5,14.9
6001407102,Alameda,Oakland,2,LI - At risk of gentrification or displacement,4268,67.4,35,1343,7.5,22.0,59,-28,-6.4,-10.3,57.7,57.7,58.4,14.3,12.2,16.4,55.0,56.4,55.8,85.7,92.1,91.9,-2.1,4.2,45159,53822,42500,19.2,-21.0,0.0,4.2,-0.7,7.5,-8.2,-0.2,0,0,14.5,8.1
